THE TREASURY OF DECORATIVE ART - AFRICAN TEXTILES,CHRISTOPHER SPRING,0-99521-162-8
THE TWISTED SISTERS SOCK WORKBOOK,LYNNE VOGEL,1-931499-16-0
THE WEAVING- SPINNING- AND DYEING BOOK,RACHEL BROWN,0-394-71595-0
THE WOOLLY TIMES,FALL 2001,MAGAZINE
THE WOOLLY TIMES,SUMMER 2000,MAGAZINE
THREE WEAVERS,JOAN POTTER LOVELESS,0-8263-1318-3
TURNING TO ONE ANOTHER - SIMPLE CONVERSATIONS TO RESTORE HOPE TO THE FUTURE,MARGARET J WHEATLEY,1-57675-145-7
TURNING WOOL INTO A COTTAGE INDUSTRY,PAULA SIMMONS,0-88266-685-1
WEAVER'S,SPRING 1989,MAGAZINE
WEAVER'S,SPRING 1988,MAGAZINE
WEAVER'S,FALL 1988,MAGAZINE
WEAVER'S,WINTER 1989,MAGAZINE
WEAVER'S,SUMMER 1988,MAGAZINE
WEAVING A WORLD - TEXTILES AND THE NAVAJO WAY OF SEEING,ROSEANN S. WILLINK & PAUL G. ZOLBROD,0-89013-307-7
WEAVING PROFITS,JAMES DILLEHAY,0-9629923-9-9
WHAT'S IN THE POT? - A NATURAL DYEING VIDEO WORKSHOP,CAROL LEE - THE SHEEP SHED STUDIO,VIDEO CASSETTE
WHERE DO SHEEP LIKE TO SLEEP?,NANCY PARENT,1-57657-676-0
WHILE OTHER PEOPLE SLEEP,MARCIA MULLER,0-446-60721-5
WILD FIBERS,NOVA NESTRICK,MAGAZINE
WILD FIBERS,WINTER 2007,MAGAZINE
WILD FIBERS,SUMMER 2008,MAGAZINE
WILD FIBERS,FALL 2008,MAGAZINE
WILD FIBERS,FALL 2006,MAGAZINE
WILD FIBERS,SUMMER 2006,MAGAZINE
WOOL CLIPS,FALL 1999- NO. 1,LEAFLET
WOOL CLIPS,FALL 1999- NO. 2,LEAFLET
WOOL CLIPS,FALL 1999- NO. 3,LEAFLET
WORKING WITH THE WOOL - HOW TO WEAVE A NAVAJO RUG,NOEL BENNETT & TAINA BIGHORSE,0-87358-084-2
YOU KNIT UNIQUE - INSPIRATION AND INFORMATION FOR THE ORIGINAL KNITTER,LEE ANDERSEN,473002906
YOUR HANDSPINNING,ELSIE G. DAVENPORT,No ISBN
